Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Min Price
0.02,0.98,0.34,518622.5303,33000000,0.000516672
0.02,0.98,0.35,543138.9158,32500000,0.000540333
0.02,0.98,0.36,568408.6883,32000000,0.000565225
0.02,0.98,0.37,594457.4664,31500000,0.000591422
0.02,0.98,0.38,621311.8979,31000000,0.000619005
0.02,0.98,0.39,648999.7105,30500000,0.000648062
0.02,0.98,0.4,677549.7672,30000000,0.000678687
0.02,0.98,0.41,706992.123,29500000,0.000710979
0.02,0.98,0.42,737358.0871,29000000,0.000745049
0.02,0.98,0.43,768680.2884,28500000,0.000781014
0.02,0.98,0.44,800992.7454,28000000,0.000818999
0.02,0.98,0.45,834330.9407,27500000,0.000859143
0.02,0.98,0.46,868731.9012,27000000,0.000901594
0.02,0.98,0.47,904234.2835,26500000,0.000946513
0.02,0.98,0.48,940878.4651,26000000,0.000994075
0.02,0.98,0.49,978706.6431,25500000,0.001044469
0.02,0.98,0.5,1017762.939,25000000,0.001097902
0.02,0.98,0.51,1058093.514,24500000,0.001154601
0.02,0.98,0.52,1099746.688,24000000,0.00121481
0.02,0.98,0.53,1142773.074,23500000,0.001278799
0.02,0.98,0.54,1187225.72,23000000,0.001346862
0.02,0.98,0.55,1233160.261,22500000,0.001419323
0.02,0.98,0.56,1280635.089,22000000,0.001496537
0.02,0.98,0.57,1329711.532,21500000,0.001578895
0.02,0.98,0.58,1380454.051,21000000,0.001666828
0.02,0.98,0.59,1432930.455,20500000,0.001760813
0.02,0.98,0.6,1487212.136,20000000,0.001861379
0.02,0.98,0.61,1543374.324,19500000,0.001969112
0.02,0.98,0.62,1601496.369,19000000,0.002084666
0.02,0.98,0.63,1661662.048,18500000,0.002208768
0.02,0.98,0.64,1723959.909,18000000,0.002342234
0.02,0.98,0.65,1788483.644,17500000,0.002485979
0.02,0.98,0.66,1855332.506,17000000,0.002641031
0.02,0.98,0.67,1924611.773,16500000,0.002808552
0.02,0.98,0.68,1996433.261,16000000,0.002989856
0.02,0.98,0.69,2070915.905,15500000,0.003186437
0.02,0.98,0.7,2148186.405,15000000,0.003399999
0.02,0.98,0.71,2228379.953,14500000,0.003632495
0.02,0.98,0.72,2311641.061,14000000,0.003886168
0.02,0.98,0.73,2398124.5,13500000,0.004163612
0.02,0.98,0.74,2487996.365,13000000,0.004467836
0.02,0.98,0.75,2581435.309,12500000,0.004802352
0.02,0.98,0.76,2678633.956,12000000,0.005171285
0.02,0.98,0.77,2779800.546,11500000,0.005579501
0.02,0.98,0.78,2885160.854,11000000,0.006032788
0.02,0.98,0.79,2994960.448,10500000,0.006538074
0.02,0.98,0.8,3109467.365,10000000,0.007103724
0.02,0.98,0.81,3228975.303,9500000,0.007739915
0.02,0.98,0.82,3353807.476,9000000,0.008459161
0.02,0.98,0.83,3484321.304,8500000,0.009277004
0.02,0.98,0.84,3620914.188,8000000,0.010212976
0.02,0.98,0.85,3764030.713,7500000,0.011291956
0.02,0.98,0.86,3914171.743,7000000,0.012546101
0.02,0.98,0.87,4071906.104,6500000,0.014017689
0.02,0.98,0.88,4237885.843,6000000,0.015763393
0.02,0.98,0.89,4412866.559,5500000,0.017860906
0.02,0.98,0.9,4597735.136,5000000,0.020419573
0.02,0.98,0.91,4793548.586,4500000,0.023598187
0.02,0.98,0.92,5001590.184,4000000,0.027636213
0.02,0.98,0.93,5223453.701,3500000,0.032912006
0.02,0.98,0.94,5461175.587,3000000,0.040059666
0.02,0.98,0.95,5717454.312,2500000,0.050227139
0.02,0.98,0.96,5996040.682,2000000,0.065724243
0.02,0.98,0.97,6302498.635,1500000,0.091976363
0.02,0.98,0.98,6645882.537,1000000,0.145388613
0.02,0.98,0.99,7043148.939,500000,0.309000574
0.03,0.97,0.01,9189.429082,49500000,0.000197146
0.03,0.97,0.02,18647.65836,49000000,0.00020525
0.03,0.97,0.03,28382.77561,48500000,0.000213702
0.03,0.97,0.04,38403.13447,48000000,0.000222517
0.03,0.97,0.05,48717.36439,47500000,0.000231713
0.03,0.97,0.06,59334.38108,47000000,0.000241308
0.03,0.97,0.07,70263.3974,46500000,0.000251321
0.03,0.97,0.08,81513.93472,46000000,0.000261773
0.03,0.97,0.09,93095.83484,45500000,0.000272684
0.03,0.97,0.1,105019.2724,45000000,0.000284077
0.03,0.97,0.11,117294.7679,44500000,0.000295976
0.03,0.97,0.12,129933.2013,44000000,0.000308406
0.03,0.97,0.13,142945.8264,43500000,0.000321393
0.03,0.97,0.14,156344.2854,43000000,0.000334965
0.03,0.97,0.15,170140.625,42500000,0.000349152
0.03,0.97,0.16,184347.3124,42000000,0.000363986
0.03,0.97,0.17,198977.2527,41500000,0.000379498
0.03,0.97,0.18,214043.8069,41000000,0.000395726
0.03,0.97,0.19,229560.8107,40500000,0.000412705
0.03,0.97,0.2,245542.5946,40000000,0.000430475
0.03,0.97,0.21,262004.0043,39500000,0.000449079
0.03,0.97,0.22,278960.4232,39000000,0.00046856
0.03,0.97,0.23,296427.795,38500000,0.000488966
0.03,0.97,0.24,314422.6484,38000000,0.000510347
0.03,0.97,0.25,332962.1221,37500000,0.000532758
0.03,0.97,0.26,352063.9922,37000000,0.000556253
0.03,0.97,0.27,371746.7003,36500000,0.000580895
0.03,0.97,0.28,392029.3834,36000000,0.000606747
0.03,0.97,0.29,412931.9056,35500000,0.000633879
0.03,0.97,0.3,434474.8911,35000000,0.000662363
0.03,0.97,0.31,456679.7598,34500000,0.000692279
0.03,0.97,0.32,479568.7642,34000000,0.00072371
0.03,0.97,0.33,503165.0289,33500000,0.000756746
0.03,0.97,0.34,527492.5924,33000000,0.000791483
0.03,0.97,0.35,552576.4507,32500000,0.000828023
0.03,0.97,0.36,578442.6049,32000000,0.000866477
0.03,0.97,0.37,605118.1103,31500000,0.000906962
0.03,0.97,0.38,632631.1294,31000000,0.000949607
0.03,0.97,0.39,661010.9881,30500000,0.000994547
0.03,0.97,0.4,690288.235,30000000,0.00104193
0.03,0.97,0.41,720494.7052,29500000,0.001091913
0.03,0.97,0.42,751663.5882,29000000,0.001144668
0.03,0.97,0.43,783829.4997,28500000,0.001200378
0.03,0.97,0.44,817028.5591,28000000,0.001259243
0.03,0.97,0.45,851298.472,27500000,0.001321478
0.03,0.97,0.46,886678.6184,27000000,0.001387317
0.03,0.97,0.47,923210.1473,26500000,0.001457012
0.03,0.97,0.48,960936.0783,26000000,0.001530838
0.03,0.97,0.49,999901.4108,25500000,0.001609094
0.03,0.97,0.5,1040153.241,25000000,0.001692106
0.03,0.97,0.51,1081740.889,24500000,0.001780227
0.03,0.97,0.52,1124716.033,24000000,0.001873846
